"";"sofifa_id";"short_name";"overall";"potential";"age";"height_cm";"weight_kg";"club_name";"league_name";"club_contract_valid_until";"preferred_foot";"pace";"shooting";"passing";"dribbling";"defending";"physic";"formation";"player_tags";"value_eur"
"20";153048;"M. Eikrem";75;75;30;184;69;"Molde FK";"Norwegian Eliteserien";2022;"Right";62;70;79;75;44;46;"mid";"";5500000
"21";229435;"M. Vlap";72;76;24;190;81;"FC Twente";"Holland Eredivisie";2022;"Right";59;74;69;70;47;63;"mid";"";3400000
"22";230488;"Alvildo Sousa";73;73;25;183;79;"Atlético Clube Goianiense";"Campeonato Brasileiro Série A";2024;"Right";69;69;72;73;30;70;"mid";"";3400000
"23";187735;"A. Dzagoev";76;76;31;179;75;"PFC CSKA Moscow";"Russian Premier League";2023;"Right";72;71;74;76;70;67;"mid";"";6e+06
"24";231410;"Brahim";78;86;21;171;59;"AC Milan";"Italian Serie A";2023;"Right";78;69;76;82;30;50;"mid";"";31500000
"25";237640;"N. Bajrami";69;80;22;179;68;"Empoli";"Italian Serie A";2024;"Right";74;59;67;70;57;64;"mid";"";3100000
"26";202589;"Javi Hernández";65;65;32;184;79;"Odisha FC";"Indian Super League";2022;"Left";67;65;66;67;47;65;"mid";"";550000
"27";186197;"G. Kakuta";78;78;30;173;72;"Racing Club de Lens";"French Ligue 1";2023;"Left";73;72;76;83;42;66;"mid";"";13500000
"28";223618;"H. Boumous";70;73;25;173;72;"ATK Mohun Bagan FC";"Indian Super League";2026;"Right";79;64;67;75;40;68;"mid";"#Acrobat";2100000
"29";226789;"A. Fulgini";78;82;24;183;71;"Angers SCO";"French Ligue 1";2023;"Right";74;70;74;81;68;73;"mid";"";2e+07
"30";197900;"P. Kasami";74;74;29;188;87;"FC Basel 1893";"Swiss Super League";2022;"Left";70;76;71;72;57;79;"mid";"";4100000
"31";232241;"M. Caktaš";75;75;29;178;68;"Damac FC";"Saudi Abdul L. Jameel League";2023;"Right";68;76;73;75;62;72;"mid";"";5500000
"32";244582;"A. Paločević";70;70;27;180;70;"FC Seoul";"Korean K League 1";2023;"Left";65;63;69;71;52;67;"mid";"";1700000
"33";236747;"L. González";70;70;30;170;66;"Junior FC";"Colombian Liga Postobón";2022;"Right";78;64;68;73;37;58;"mid";"";1500000
"34";230475;"Adilson Edrada";76;76;29;176;72;"Santos";"Campeonato Brasileiro Série A";2024;"Right";77;71;70;80;32;55;"mid";"#Dribbler";7500000
"35";208045;"O. Tannane";76;76;27;177;80;"Vitesse";"Holland Eredivisie";2022;"Left";79;76;73;78;41;75;"mid";"";8e+06
"36";248252;"J. Rane";55;55;28;173;72;"Bengaluru FC";"Indian Super League";2024;"Right";70;50;52;59;27;60;"mid";"";130000
"37";226376;"Kaku";75;77;26;171;68;"Al Taawoun";"Saudi Abdul L. Jameel League";2024;"Left";82;68;73;77;52;65;"mid";"";7e+06
"38";230685;"E. Akbaba";72;72;28;180;73;"Aytemiz Alanyaspor";"Turkish Süper Lig";2022;"Left";69;72;73;71;55;61;"mid";"";2400000
"39";248011;"L. Fülöp";64;70;23;180;76;"FC Voluntari";"Romanian Liga I";2023;"Right";70;60;63;66;44;65;"mid";"";925000
"40";203483;"D. Klaassen";79;79;28;179;70;"Ajax";"Holland Eredivisie";2024;"Right";71;80;73;76;72;78;"mid";"#Engine";17500000
"41";260283;"Y. Koizumi";67;72;24;172;63;"Urawa Red Diamonds";"Japanese J. League Division 1";2022;"Left";75;62;65;70;55;53;"mid";"";1500000
"42";201484;"P. McEleney";67;67;28;180;84;"Dundalk FC";"Rep. Ireland Airtricity League";2021;"Right";74;60;64;69;55;61;"mid";"";1e+06
"43";253274;"G. Rodríguez";72;72;29;187;76;"Deportivo Cali";"Colombian Liga Postobón";2025;"Left";77;65;64;75;43;54;"mid";"";2300000
"44";216497;"M. Philipp";77;78;27;183;79;"VfL Wolfsburg";"German 1. Bundesliga";2025;"Right";78;79;71;79;42;61;"mid";"";12500000
"45";251923;"A. Gómez";66;66;33;169;73;"AC Mineros de Guayana";"Venezuelan Primera División";2021;"Left";63;62;63;67;46;50;"mid";"";525000
"46";231027;"A. Marchesano";70;70;30;168;62;"FC Zürich";"Swiss Super League";2023;"Right";68;65;70;74;48;48;"mid";"#Acrobat";1500000
"47";237257;"J. Yueill";71;75;24;178;74;"San Jose Earthquakes";"USA Major League Soccer";2021;"Right";60;60;70;69;63;72;"mid";"";2700000
"48";246954;"S. Liseth";61;67;23;182;72;"FK Haugesund";"Norwegian Eliteserien";2024;"Right";66;57;55;61;30;65;"mid";"";525000
"49";241115;"R. Amaral";71;75;24;178;83;"Centro Atlético Fénix";"Uruguayan Primera División";2021;"Left";49;73;73;73;30;58;"mid";"";2700000
"50";226266;"J. Vargas";66;71;23;170;70;"Unión La Calera";"Chilian Campeonato Nacional";2022;"Right";78;61;62;72;35;60;"mid";"";1300000
"51";256630;"F. Wirtz";78;89;18;176;70;"Bayer 04 Leverkusen";"German 1. Bundesliga";2026;"Right";72;68;76;83;51;59;"mid";"";29500000
"52";227082;"D. Markey";58;61;24;172;68;"Drogheda United";"Rep. Ireland Airtricity League";2021;"Right";70;52;56;63;50;56;"mid";"";275000
"53";210406;"P. Zieliński";81;82;27;180;75;"Napoli";"Italian Serie A";2024;"Right";81;75;81;85;70;61;"mid";"#Dribbler";29500000
"54";260184;"M. Watai";65;74;21;168;64;"Tokushima Vortis";"Japanese J. League Division 1";2022;"Right";69;63;65;67;45;52;"mid";"";1600000
"55";195838;"Crivellaro";69;69;32;184;81;"Chennaiyin FC";"Indian Super League";2022;"Left";59;67;69;68;45;69;"mid";"";1100000
"56";193461;"Fredy";72;72;31;170;68;"Antalyaspor";"Turkish Süper Lig";2022;"Right";87;65;67;74;58;60;"mid";"";1900000
"57";216594;"N. Fekir";84;84;27;173;75;"Real Betis Balompié";"Spain Primera Division";2023;"Left";83;83;82;87;38;79;"mid";"#Dribbler";4,5e+07
"58";188350;"M. Reus";85;85;32;180;71;"Borussia Dortmund";"German 1. Bundesliga";2023;"Right";73;84;84;85;47;63;"mid";"";4,3e+07
"59";190738;"H. Nielsen";72;72;27;187;82;"SpVgg Greuther Fürth";"German 1. Bundesliga";2022;"Right";79;70;67;71;42;75;"mid";"";2500000
"60";201681;"C. Quintero";68;68;32;176;74;"Deportivo Pasto";"Colombian Liga Postobón";2025;"Right";74;64;67;69;61;72;"mid";"";950000
"61";243963;"K. Magennis";65;71;22;181;73;"Hibernian";"Scottish Premiership";2025;"Right";72;63;66;66;57;75;"mid";"";1100000
"62";255928;"M. Diomande";64;78;19;175;75;"FC Nordsjælland";"Danish Superliga";2024;"Left";71;53;63;69;59;70;"mid";"";1400000
"63";233260;"A. Vega";73;81;23;173;77;"Club Deportivo Guadalajara";"Mexican Liga MX";2022;"Right";78;74;72;77;30;72;"mid";"";7e+06
"64";225151;"A. Traoré";73;76;26;178;70;"Atakaş Hatayspor";"Turkish Süper Lig";2022;"Left";77;63;73;75;61;70;"mid";"";4e+06
"65";230373;"Nicolás Filhei";76;76;25;172;69;"São Paulo";"Campeonato Brasileiro Série A";2024;"Right";72;69;76;76;57;45;"mid";"";8500000
"66";238767;"J. Altamirano";63;73;21;172;68;"CD Huachipato";"Chilian Campeonato Nacional";2021;"Left";74;61;58;67;50;56;"mid";"";1100000
"67";247641;"Tete";76;86;21;175;73;"Shakhtar Donetsk";"Ukrainian Premier League";2023;"Left";83;70;72;79;39;59;"mid";"";1,7e+07
"68";194171;"K. Musona";70;70;31;177;71;"Al Tai";"Saudi Abdul L. Jameel League";2023;"Right";74;70;68;73;38;64;"mid";"";1300000
"69";214369;"A. Andrade";73;73;32;177;71;"Atlético Nacional";"Colombian Liga Postobón";2022;"Right";77;71;68;75;41;63;"mid";"";2400000
"70";253105;"Tiago Alves";65;70;25;176;72;"Piast Gliwice";"Polish T-Mobile Ekstraklasa";2022;"Right";76;59;61;68;30;54;"mid";"";1e+06
"71";211110;"P. Dybala";87;88;27;177;75;"Juventus";"Italian Serie A";2022;"Left";84;86;86;90;40;60;"mid";"#Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Complete Midfielder";9,3e+07
"72";244932;"K. Castañeda";69;79;21;174;79;"Deportivo Toluca";"Mexican Liga MX";2021;"Right";71;74;69;69;32;62;"mid";"";3100000
"73";173030;"Ó. Trejo";75;75;33;180;79;"Rayo Vallecano";"Spain Primera Division";2023;"Right";71;72;75;78;69;77;"mid";"#Acrobat";2800000
"74";206154;"H. Canteros";71;71;32;176;80;"Patronato";"Argentina Primera División";2021;"Right";67;67;73;70;64;72;"mid";"";1500000
"75";199247;"Álex Fernández";75;75;28;182;72;"Cádiz CF";"Spain Primera Division";2022;"Right";57;70;79;74;68;64;"mid";"";5500000
"76";228251;"L. Pellegrini";81;86;25;186;77;"Roma";"Italian Serie A";2022;"Right";78;74;81;80;72;77;"mid";"";3,8e+07
"77";189730;"F. Di Tacchio";66;66;31;186;81;"US Salernitana 1919";"Italian Serie A";2023;"Left";51;50;58;59;64;86;"mid";"#Strength";7e+05
"78";189454;"D. Díaz";76;76;35;174;67;"Barcelona Sporting Club";"Ecuadorian Serie A";2021;"Right";74;65;76;77;44;68;"mid";"";3100000
"79";229664;"F. Valenčič";67;67;29;183;90;"HJK Helsinki";"Finnish Veikkausliiga";2021;"Left";73;69;62;67;29;69;"mid";"";1e+06
"80";208448;"E. Forsberg";81;81;29;177;76;"RB Leipzig";"German 1. Bundesliga";2025;"Right";70;73;82;83;35;62;"mid";"";25500000
"81";211267;"R. Centurión";75;75;28;174;71;"Vélez Sarsfield";"Argentina Primera División";2023;"Right";87;68;69;83;41;65;"mid";"#Acrobat";5500000
"82";235236;"I. Jebali";66;66;29;186;84;"Odense Boldklub";"Danish Superliga";2024;"Right";71;65;62;71;38;70;"mid";"";850000
"83";234468;"E. Reynoso";77;81;25;176;67;"Minnesota United FC";"USA Major League Soccer";2023;"Left";66;65;78;79;57;67;"mid";"";14500000
"84";225931;"M. Duelund";69;75;24;178;74;"N.E.C. Nijmegen";"Holland Eredivisie";2022;"Right";73;66;68;72;42;67;"mid";"";2200000
"85";200134;"R. Benson";64;64;29;178;75;"St. Patrick's Athletic";"Rep. Ireland Airtricity League";2021;"Left";65;61;65;65;58;68;"mid";"";575000
"86";233585;"Lincoln";73;82;22;178;70;"Santa Clara";"Portuguese Liga ZON SAGRES";2022;"Left";79;67;69;77;31;63;"mid";"";7e+06
"87";192064;"Gao Late";79;79;30;185;78;"Guangzhou FC";"Chinese Super League";2023;"Right";83;78;77;79;41;72;"mid";"";1,7e+07
"88";213597;"D. Valdés";73;74;27;179;75;"Santos Laguna";"Mexican Liga MX";2022;"Right";79;69;71;74;53;68;"mid";"";3500000
"89";212207;"N. Stanciu";78;78;28;170;63;"SK Slavia Praha";"Czech Republic Gambrinus Liga";2023;"Right";72;75;80;80;59;68;"mid";"#Acrobat";1,4e+07
"90";204850;"T. Nguen";74;75;27;174;60;"Ferencvárosi TC";"Hungarian Nemzeti Bajnokság I";2022;"Right";88;69;64;80;45;59;"mid";"#Acrobat";4900000
"91";224794;"Murilo Henrique";69;69;26;177;76;"Suwon FC";"Korean K League 1";2022;"Right";84;60;61;70;46;70;"mid";"";1500000
"92";230269;"Claudio Coíntra";77;77;25;174;71;"Palmeiras";"Campeonato Brasileiro Série A";2024;"Left";79;73;76;78;27;60;"mid";"#Acrobat";11500000
"93";239219;"S. Quiroga";66;67;27;162;62;"Club Atlético Sarmiento";"Argentina Primera División";2023;"Right";75;55;65;70;60;58;"mid";"";975000
"94";253102;"A. Aouchiche";74;82;18;181;72;"AS Saint-Étienne";"French Ligue 1";2023;"Right";70;64;74;75;56;59;"mid";"";9e+06
"95";255313;"R. van der Venne";65;65;29;173;71;"RKC Waalwijk";"Holland Eredivisie";2022;"Left";68;63;63;65;46;71;"mid";"";7e+05
"96";168542;"David Silva";85;85;35;173;67;"Real Sociedad";"Spain Primera Division";2022;"Left";63;74;87;87;52;53;"mid";"#Dribbler, #Playmaker, #Complete Midfielder";2,2e+07
"97";222457;"B. Mensah";72;75;26;180;65;"Yukatel Kayserispor";"Turkish Süper Lig";2022;"Right";77;70;71;74;62;70;"mid";"";3100000
"98";210021;"H. Mukhtar";72;74;26;173;71;"Nashville SC";"USA Major League Soccer";2025;"Right";78;65;70;75;44;63;"mid";"";2900000
"99";176376;"I. Piatti";75;75;36;180;76;"Racing Club";"Argentina Primera División";2021;"Right";64;75;73;78;53;60;"mid";"";1800000
"100";262403;"P. Rommens";64;68;23;175;68;"Go Ahead Eagles";"Holland Eredivisie";2023;"Right";66;58;65;64;45;58;"mid";"";850000
"101";189596;"T. Müller";87;87;31;185;76;"FC Bayern München";"German 1. Bundesliga";2023;"Right";67;84;83;80;56;71;"mid";"#Engine, #Clinical Finisher";6,6e+07
"102";242389;"Rafael Barbosa";69;74;25;173;67;"CD Tondela";"Portuguese Liga ZON SAGRES";2023;"Right";76;59;66;74;30;49;"mid";"";2e+06
"103";196853;"J. Sánchez";67;67;32;167;70;"FBC Melgar";"Peruvian Primera División";2021;"Right";81;67;62;67;32;62;"mid";"";8e+05
"104";206469;"T. Fountas";73;76;25;170;65;"SK Rapid Wien";"Austrian Football Bundesliga";2022;"Right";88;75;66;75;48;65;"mid";"#Acrobat";4e+06
"105";206577;"S. Peeters";73;73;29;188;74;"KAS Eupen";"Belgian Jupiler Pro League";2023;"Left";58;68;77;69;63;71;"mid";"";3e+06
"106";202599;"Igor Coronado";76;76;28;170;65;"Al Ittihad";"Saudi Abdul L. Jameel League";2023;"Right";80;75;73;82;49;63;"mid";"";7500000
"107";224483;"M. Greve";68;68;26;186;77;"Brøndby IF";"Danish Superliga";2025;"Right";70;61;66;70;51;69;"mid";"";1300000
"108";248307;"M. Yasir";56;65;23;170;68;"Hyderabad FC";"Indian Super League";2023;"Left";73;42;49;59;30;54;"mid";"";325000
"109";181271;"B. Dočkal";75;75;32;182;74;"AC Sparta Praha";"Czech Republic Gambrinus Liga";2022;"Right";61;73;80;75;53;58;"mid";"";4500000
"110";208224;"P. Mantalos";76;76;29;176;73;"AEK Athens";"Greek Super League";2024;"Right";73;70;75;78;54;61;"mid";"";7500000
"111";233927;"Lucas Paquetá";81;86;23;180;72;"Olympique Lyonnais";"French Ligue 1";2025;"Left";74;75;79;83;69;78;"mid";"";38500000
"112";203431;"Leandro";72;72;28;177;78;"FC Tokyo";"Japanese J. League Division 1";2022;"Right";82;72;71;71;38;74;"mid";"";2400000
"113";188988;"M. Lanzini";77;77;28;167;59;"West Ham United";"English Premier League";2023;"Right";71;72;77;81;32;42;"mid";"";10500000
"114";235176;"C. Bernardi";73;73;31;177;73;"Club Atlético Colón";"Argentina Primera División";2022;"Right";79;71;68;76;50;61;"mid";"";2500000
"115";233079;"C. Rivera";70;75;25;184;78;"Club Tijuana";"Mexican Liga MX";2022;"Right";58;58;63;66;67;71;"mid";"";2100000
"116";259456;"S. Czyż";63;75;19;176;76;"Warta Poznań";"Polish T-Mobile Ekstraklasa";2024;"Right";68;56;60;71;44;63;"mid";"";1100000
"117";253150;"M. Ndayishimiye";72;80;22;172;64;"KRC Genk";"Belgian Jupiler Pro League";2025;"Right";81;63;70;76;29;51;"mid";"";5500000
"118";204078;"R. Wolski";65;65;28;180;70;"Wisła Płock";"Polish T-Mobile Ekstraklasa";2023;"Right";61;60;67;69;34;49;"mid";"";725000
"119";253265;"B. Olivera";68;69;27;169;65;"Gallos Blancos de Querétaro";"Mexican Liga MX";2025;"Left";73;66;69;70;36;60;"mid";"";1400000
"120";242577;"R. Faivre";75;83;22;180;69;"Stade Brestois 29";"French Ligue 1";2025;"Left";74;72;73;78;63;63;"mid";"";12500000
"121";231150;"Jamiro Monteiro";75;75;27;175;72;"Philadelphia Union";"USA Major League Soccer";2022;"Right";75;63;73;78;64;76;"mid";"#Engine";6e+06
"122";261871;"A. Robinson";53;58;24;182;78;"Longford Town";"Rep. Ireland Airtricity League";2021;"Left";60;47;52;54;45;56;"mid";"";140000
"123";237681;"T. Kubo";75;88;20;173;67;"RCD Mallorca";"Spain Primera Division";2022;"Left";81;66;68;82;39;56;"mid";"";13500000
"124";217845;"A. Hjulsager";73;75;26;175;72;"KAA Gent";"Belgian Jupiler Pro League";2025;"Right";73;68;72;74;63;73;"mid";"";3800000
"125";213777;"I. Fossum";71;75;24;180;73;"Aalborg BK";"Danish Superliga";2023;"Right";70;67;68;71;62;73;"mid";"#Engine";2700000
"126";193881;"F. Đuričić";76;76;29;181;75;"U.S. Sassuolo Calcio";"Italian Serie A";2022;"Right";73;69;75;78;42;60;"mid";"";7500000
"127";232803;"N. Maeda";67;68;26;175;66;"Nagoya Grampus";"Japanese J. League Division 1";2022;"Left";74;66;64;66;17;62;"mid";"";1200000
"128";253899;"J. Torres";63;63;28;169;69;"Aragua Fútbol Club";"Venezuelan Primera División";2022;"Right";79;59;60;62;32;60;"mid";"";475000
"129";234949;"João Amaral";69;69;29;172;67;"Lech Poznań";"Polish T-Mobile Ekstraklasa";2022;"Left";82;66;65;72;35;58;"mid";"";1400000
"130";243127;"J. Martin";56;62;22;185;70;"Waterford FC";"Rep. Ireland Airtricity League";2021;"Right";63;55;54;58;42;56;"mid";"";230000
"131";260108;"Rochharzela";54;62;23;176;61;"NorthEast United FC";"Indian Super League";2023;"Right";72;42;52;58;32;42;"mid";"";240000
"132";239712;"M. Okugawa";73;76;25;177;62;"DSC Arminia Bielefeld";"German 1. Bundesliga";2024;"Left";76;65;68;78;38;42;"mid";"";4e+06
"133";262480;"R. Ilie";60;71;18;183;73;"Rapid București";"Romanian Liga I";2022;"Right";76;56;56;61;49;56;"mid";"";525000
"134";230466;"Fábio Melitinho";72;72;25;170;67;"Fluminense";"Campeonato Brasileiro Série A";2024;"Right";46;73;75;75;24;56;"mid";"";2600000
"135";247972;"D. Olaru";70;77;23;177;71;"FCSB (Steaua)";"Romanian Liga I";2024;"Right";81;69;70;72;60;74;"mid";"";3200000
"136";253581;"M. Lliuya";68;68;29;168;73;"Sport Huancayo";"Peruvian Primera División";2021;"Right";65;68;64;71;45;62;"mid";"";1200000
"137";230380;"Luildo Simões";70;70;21;177;74;"Sport Club Corinthians Paulista";"Campeonato Brasileiro Série A";2024;"Right";71;70;69;69;46;60;"mid";"";1900000
"138";231667;"D. Cataño";67;67;29;174;75;"Club Deportes Tolima";"Colombian Liga Postobón";2022;"Right";71;58;64;69;45;59;"mid";"";1e+06
"139";220697;"J. Maddison";82;85;24;175;73;"Leicester City";"English Premier League";2024;"Right";75;78;84;84;54;60;"mid";"";41500000
"140";228863;"T. Heintz";65;69;22;173;69;"BK Häcken";"Swedish Allsvenskan";2024;"Right";73;55;61;66;36;60;"mid";"";1e+06
"141";222665;"M. Ødegaard";82;88;22;178;68;"Arsenal";"English Premier League";2026;"Left";77;74;83;84;58;62;"mid";"";4,9e+07
"142";221634;"L. Acosta";75;76;27;161;59;"FC Cincinnati";"USA Major League Soccer";2023;"Right";79;67;70;82;46;56;"mid";"";6500000
"143";225187;"P. van Amersfoort";67;69;25;193;77;"Cracovia";"Polish T-Mobile Ekstraklasa";2022;"Right";65;66;67;66;49;70;"mid";"";1300000
"144";229212;"B. Smeets";68;68;28;183;82;"Sparta Rotterdam";"Holland Eredivisie";2022;"Right";64;63;70;66;57;76;"mid";"";1200000
"145";230486;"Paulolettinho";70;70;25;181;80;"Fortaleza";"Campeonato Brasileiro Série A";2024;"Right";79;59;70;72;32;63;"mid";"";1800000
"146";263030;"E. McLaughlin";54;67;19;176;71;"Derry City";"Rep. Ireland Airtricity League";2021;"Left";64;42;53;58;35;47;"mid";"";250000
"147";205686;"T. Savanier";80;80;29;172;69;"Montpellier Hérault SC";"French Ligue 1";2023;"Right";67;74;83;82;69;69;"mid";"";20500000
"148";239373;"Z. Flemming";72;78;22;185;84;"Fortuna Sittard";"Holland Eredivisie";2024;"Right";72;73;67;71;56;80;"mid";"";3800000
"149";247177;"R. Parkes";59;59;30;192;88;"Sligo Rovers";"Rep. Ireland Airtricity League";2021;"Right";87;57;49;53;18;74;"mid";"";220000
"150";230376;"Bruno Fagundeiro";69;69;21;169;69;"Cuiabá";"Campeonato Brasileiro Série A";2024;"Right";65;66;70;70;55;60;"mid";"";1600000
"151";214250;"M. Palacios";68;68;28;183;75;"Pohang Steelers";"Korean K League 1";2022;"Right";92;61;57;69;45;75;"mid";"#Speedster";1200000
"152";248811;"Bruno Lourenço";68;77;23;179;74;"Estoril Praia";"Portuguese Liga ZON SAGRES";2023;"Left";66;58;70;70;46;62;"mid";"";2700000
"153";229636;"G. Pereiro";73;75;26;188;75;"Cagliari";"Italian Serie A";2024;"Left";70;73;70;77;40;67;"mid";"";3800000
"154";193738;"Y. Belhanda";74;74;31;179;75;"Adana Demirspor";"Turkish Süper Lig";2024;"Right";72;71;77;78;59;69;"mid";"";3500000
"155";212753;"S. Mauk";64;66;25;176;71;"Adelaide United";"Australian Hyundai A-League";2022;"Right";76;59;62;67;54;73;"mid";"";725000
"156";221489;"J. Flores";68;74;24;167;65;"CD Antofagasta";"Chilian Campeonato Nacional";2021;"Right";79;60;60;73;26;44;"mid";"";1900000
"157";247188;"Víctor Ruiz";69;70;27;173;66;"FC St. Gallen 1879";"Swiss Super League";2023;"Right";71;59;68;75;46;51;"mid";"";1600000
"158";41;"Iniesta";79;79;37;171;68;"Vissel Kobe";"Japanese J. League Division 1";2024;"Right";51;69;84;84;59;57;"mid";"#Playmaker ";5500000
"159";230481;"Ronaldo Cabrais";83;83;29;177;75;"Grêmio";"Campeonato Brasileiro Série A";2024;"Right";88;77;83;84;35;72;"mid";"#Acrobat";35500000
"160";232730;"D. Kamada";79;82;24;184;76;"Eintracht Frankfurt";"German 1. Bundesliga";2023;"Right";75;68;79;83;41;59;"mid";"";2,4e+07
"161";243851;"V. Pule";72;72;29;169;64;"Orlando Pirates";"South African Premier Division";2022;"Left";82;76;62;73;41;51;"mid";"";2300000
"162";234066;"J. Hove";66;80;20;177;72;"Strømsgodset IF";"Norwegian Eliteserien";2023;"Right";71;63;65;68;57;67;"mid";"";2100000
"163";235663;"G. Til";73;79;23;186;78;"Feyenoord";"Holland Eredivisie";2022;"Right";67;71;69;73;59;71;"mid";"";4800000
"164";220633;"D. Gray";75;78;25;183;75;"Everton";"English Premier League";2024;"Right";86;71;67;79;37;55;"mid";"";7500000
"165";246237;"E. Bullaude";70;77;20;184;80;"Godoy Cruz";"Argentina Primera División";2022;"Right";79;68;63;73;32;64;"mid";"";3200000
"166";212523;"Anderson Talisca";82;83;27;190;80;"Al Nassr";"Saudi Abdul L. Jameel League";2024;"Left";80;83;81;83;52;75;"mid";"#FK Specialist";35500000
"167";179765;"E. Vecchio";76;76;32;178;80;"Rosario Central";"Argentina Primera División";2023;"Right";79;72;77;76;64;74;"mid";"";6e+06
"168";192616;"C. Tănase";66;66;34;177;75;"Campionii FC Arges";"Romanian Liga I";2022;"Right";57;60;71;66;37;52;"mid";"";4e+05
"169";208631;"F. Starzyński";68;68;30;184;70;"Zagłębie Lubin";"Polish T-Mobile Ekstraklasa";2023;"Right";34;67;72;71;45;48;"mid";"";1200000
"170";229215;"Y. El Jebli";72;72;28;177;74;"Al Batin";"Saudi Abdul L. Jameel League";2022;"Right";66;69;75;74;40;70;"mid";"";2400000
"171";255233;"T. Suslov";69;83;19;173;72;"FC Groningen";"Holland Eredivisie";2025;"Left";74;65;68;71;40;51;"mid";"";3300000
"172";192318;"M. Götze";82;82;29;177;71;"PSV";"Holland Eredivisie";2024;"Right";68;75;83;84;55;69;"mid";"";3e+07
"173";215270;"L. Zelarayán";76;76;29;172;70;"Columbus Crew";"USA Major League Soccer";2022;"Right";71;71;76;78;45;66;"mid";"";7500000
"174";187072;"L. Stindl";82;82;32;181;80;"Borussia Mönchengladbach";"German 1. Bundesliga";2023;"Right";61;84;81;81;60;73;"mid";"";2,4e+07
"175";230426;"Arturo Inálcio";78;78;21;170;60;"Flamengo";"Campeonato Brasileiro Série A";2024;"Right";83;72;75;78;52;48;"mid";"#Acrobat";16500000
"176";234889;"F. Jensen";71;76;23;183;78;"FC Augsburg";"German 1. Bundesliga";2023;"Right";69;68;67;73;51;70;"mid";"";2800000
"177";239170;"V. Hammershøy-Mistrati";69;69;29;177;76;"Randers FC";"Danish Superliga";2024;"Right";65;65;66;71;60;70;"mid";"";1400000
"178";239361;"D. de Wit";71;77;23;184;75;"AZ Alkmaar";"Holland Eredivisie";2024;"Right";62;70;68;68;64;80;"mid";"";2900000
"179";200318;"M. Uth";75;75;29;185;72;"1. FC Köln";"German 1. Bundesliga";2023;"Left";73;77;72;76;40;68;"mid";"";5500000
